date,draw_no,n1,n2,n3,n4,n5,n6,joker,super,numbers,bonus
2016-06-18,1023,4,10,20,22,27,33,,,4 10 20 22 27 33,
2016-06-25,1024,6,7,11,16,24,35,,,6 7 11 16 24 35,
2016-07-02,1025,4,35,39,40,42,46,,,4 35 39 40 42 46,
2016-07-09,1026,6,11,21,39,40,48,,,6 11 21 39 40 48,
2016-07-16,1027,12,16,27,36,46,48,,,12 16 27 36 46 48,
2016-07-23,1028,7,12,14,34,40,46,,,7 12 14 34 40 46,
2016-07-30,1029,2,14,22,23,38,47,,,2 14 22 23 38 47,
2016-08-06,1030,2,18,27,31,33,38,,,2 18 27 31 33 38,
2016-08-13,1031,13,18,19,20,38,49,,,13 18 19 20 38 49,
2016-08-20,1032,9,24,28,29,33,49,,,9 24 28 29 33 49,
2016-08-27,1033,17,19,23,29,44,46,,,17 19 23 29 44 46,
2016-09-03,1034,2,12,14,22,31,34,,,2 12 14 22 31 34,
2016-09-10,1035,2,11,22,27,30,35,,,2 11 22 27 30 35,
2016-09-17,1036,12,18,22,35,37,45,,,12 18 22 35 37 45,
2016-09-24,1037,7,16,17,18,31,32,,,7 16 17 18 31 32,
2016-10-01,1038,4,14,25,27,31,39,,,4 14 25 27 31 39,
2016-10-08,1039,18,25,33,34,37,45,,,18 25 33 34 37 45,
2016-10-15,1040,12,19,23,33,42,49,,,12 19 23 33 42 49,
2016-10-22,1041,9,11,13,14,16,44,,,9 11 13 14 16 44,
2016-10-29,1042,4,10,30,36,44,46,,,4 10 30 36 44 46,
2016-11-05,1043,11,23,35,39,48,49,,,11 23 35 39 48 49,
2016-11-12,1044,13,28,36,39,41,47,,,13 28 36 39 41 47,
2016-11-19,1045,11,26,30,39,41,48,,,11 26 30 39 41 48,
2016-11-26,1046,5,21,22,26,29,44,,,5 21 22 26 29 44,
2016-12-03,1047,24,26,36,43,44,46,,,24 26 36 43 44 46,
2016-12-10,1048,5,10,11,21,27,30,,,5 10 11 21 27 30,
2016-12-17,1049,8,9,10,25,33,36,,,8 9 10 25 33 36,
2016-12-24,1050,8,10,33,46,48,49,,,8 10 33 46 48 49,
2016-12-31,1051,4,9,25,28,40,43,,,4 9 25 28 40 43,
2017-01-07,1052,8,9,14,20,38,44,,,8 9 14 20 38 44,
2017-01-14,1053,5,26,29,34,35,36,,,5 26 29 34 35 36,
2017-01-21,1054,22,23,31,35,43,48,,,22 23 31 35 43 48,
2017-01-28,1055,5,6,19,21,24,26,,,5 6 19 21 24 26,
2017-02-04,1056,16,27,28,32,42,43,,,16 27 28 32 42 43,
2017-02-11,1057,4,12,24,25,29,47,,,4 12 24 25 29 47,
