year,draw_no,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20,n21,n22,numbers
2016,752,1,10,13,16,18,20,41,45,47,48,52,55,56,57,58,63,65,66,67,71,72,79,1 10 13 16 18 20 41 45 47 48 52 55 56 57 58 63 65 66 67 71 72 79
2016,753,3,11,12,15,24,26,27,28,34,36,39,53,56,59,62,63,65,70,75,77,78,80,3 11 12 15 24 26 27 28 34 36 39 53 56 59 62 63 65 70 75 77 78 80
2016,754,4,6,7,11,13,18,23,27,29,34,41,45,50,51,52,59,67,69,73,74,75,79,4 6 7 11 13 18 23 27 29 34 41 45 50 51 52 59 67 69 73 74 75 79
2016,755,5,9,10,20,25,26,27,34,38,39,40,44,47,53,55,62,64,66,70,71,74,80,5 9 10 20 25 26 27 34 38 39 40 44 47 53 55 62 64 66 70 71 74 80
2016,756,1,3,6,9,18,21,29,33,38,39,45,46,49,53,57,62,65,69,72,74,76,80,1 3 6 9 18 21 29 33 38 39 45 46 49 53 57 62 65 69 72 74 76 80
2016,757,2,7,8,12,17,19,23,24,26,31,35,40,45,47,49,56,58,60,61,73,75,80,2 7 8 12 17 19 23 24 26 31 35 40 45 47 49 56 58 60 61 73 75 80
2016,758,4,5,7,17,20,26,27,28,29,38,39,42,44,52,54,56,60,65,72,74,75,78,4 5 7 17 20 26 27 28 29 38 39 42 44 52 54 56 60 65 72 74 75 78
2016,759,4,9,12,15,17,19,26,28,29,32,33,35,40,42,45,46,52,55,59,65,69,76,4 9 12 15 17 19 26 28 29 32 33 35 40 42 45 46 52 55 59 65 69 76
2016,760,9,11,13,16,17,18,23,30,32,35,37,40,41,43,47,54,57,70,72,73,76,80,9 11 13 16 17 18 23 30 32 35 37 40 41 43 47 54 57 70 72 73 76 80
2016,761,5,8,12,15,18,21,26,27,29,33,35,37,39,46,48,49,51,57,59,70,74,79,5 8 12 15 18 21 26 27 29 33 35 37 39 46 48 49 51 57 59 70 74 79
2016,762,1,4,7,8,17,19,22,26,27,32,34,37,38,43,44,51,52,53,56,64,65,76,1 4 7 8 17 19 22 26 27 32 34 37 38 43 44 51 52 53 56 64 65 76
2016,763,2,4,5,6,7,10,12,16,20,21,25,30,38,40,45,56,58,63,72,74,75,77,2 4 5 6 7 10 12 16 20 21 25 30 38 40 45 56 58 63 72 74 75 77
2016,764,3,4,8,24,25,26,29,30,31,34,35,36,40,41,43,48,52,61,65,71,72,73,3 4 8 24 25 26 29 30 31 34 35 36 40 41 43 48 52 61 65 71 72 73
2016,765,8,9,15,16,18,22,24,26,28,31,37,44,48,50,51,53,54,62,63,66,72,78,8 9 15 16 18 22 24 26 28 31 37 44 48 50 51 53 54 62 63 66 72 78
2016,766,7,8,12,13,15,16,17,21,23,30,32,40,41,49,50,55,58,66,70,71,73,77,7 8 12 13 15 16 17 21 23 30 32 40 41 49 50 55 58 66 70 71 73 77
2016,767,2,3,6,16,20,23,27,28,29,33,43,46,51,52,60,65,71,73,74,75,76,79,2 3 6 16 20 23 27 28 29 33 43 46 51 52 60 65 71 73 74 75 76 79
