date,draw_no,n1,n2,n3,n4,n5,n6,numbers
2016-06-23,453,12,19,30,44,47,48,12 19 30 44 47 48
2016-06-30,454,1,6,8,9,22,35,1 6 8 9 22 35
2016-07-07,455,4,7,29,31,39,43,4 7 29 31 39 43
2016-07-14,456,1,12,14,42,44,47,1 12 14 42 44 47
2016-07-21,457,2,6,13,18,22,49,2 6 13 18 22 49
2016-07-28,458,9,23,40,48,49,51,9 23 40 48 49 51
2016-08-04,459,24,25,30,37,52,54,24 25 30 37 52 54
2016-08-11,460,4,8,11,18,22,41,4 8 11 18 22 41
2016-08-18,461,3,18,23,39,47,51,3 18 23 39 47 51
2016-08-25,462,11,17,18,28,29,41,11 17 18 28 29 41
2016-09-01,463,4,8,16,17,24,51,4 8 16 17 24 51
2016-09-08,464,3,12,14,17,39,46,3 12 14 17 39 46
2016-09-15,465,2,16,26,28,40,42,2 16 26 28 40 42
2016-09-22,466,4,20,33,36,38,40,4 20 33 36 38 40
2016-09-29,467,37,38,39,42,43,47,37 38 39 42 43 47
2016-10-06,468,20,21,22,23,34,42,20 21 22 23 34 42
2016-10-13,469,6,19,36,42,48,53,6 19 36 42 48 53
2016-10-20,470,5,10,11,25,27,40,5 10 11 25 27 40
2016-10-27,471,7,10,14,28,42,44,7 10 14 28 42 44
2016-11-03,472,10,15,23,39,42,48,10 15 23 39 42 48
2016-11-10,473,6,22,23,29,35,42,6 22 23 29 35 42
2016-11-17,474,2,5,13,16,28,51,2 5 13 16 28 51
2016-11-24,475,4,14,21,30,51,52,4 14 21 30 51 52
2016-12-01,476,10,18,23,34,36,50,10 18 23 34 36 50
2016-12-08,477,4,6,19,23,38,54,4 6 19 23 38 54
2016-12-15,478,1,10,13,18,20,50,1 10 13 18 20 50
2016-12-22,479,19,25,41,48,51,54,19 25 41 48 51 54
2016-12-29,480,13,16,20,27,32,53,13 16 20 27 32 53
2017-01-05,481,8,14,19,25,27,31,8 14 19 25 27 31
2017-01-12,482,8,13,15,21,22,46,8 13 15 21 22 46
2017-01-19,483,1,7,27,32,50,51,1 7 27 32 50 51
2017-01-26,484,6,14,24,36,48,53,6 14 24 36 48 53
2017-02-02,485,14,17,18,43,47,49,14 17 18 43 47 49
2017-02-09,486,20,23,27,29,40,48,20 23 27 29 40 48
2017-02-16,487,6,10,28,29,47,53,6 10 28 29 47 53
2017-02-23,488,5,19,20,29,36,40,5 19 20 29 36 40
2017-03-02,489,4,13,25,27,29,33,4 13 25 27 29 33
2017-03-09,490,14,18,21,32,48,54,14 18 21 32 48 54
2017-03-16,491,1,7,19,40,42,51,1 7 19 40 42 51
2017-03-23,492,10,13,18,38,41,52,10 13 18 38 41 52
2017-03-30,493,2,3,35,38,40,54,2 3 35 38 40 54
2017-04-06,494,4,8,14,16,32,49,4 8 14 16 32 49
2017-04-13,495,4,11,30,41,47,51,4 11 30 41 47 51
2017-04-20,496,3,6,22,24,33,37,3 6 22 24 33 37
2017-04-27,497,4,6,18,25,34,37,4 6 18 25 34 37
2017-05-04,498,8,15,16,25,44,51,8 15 16 25 44 51
2017-05-11,499,7,14,35,41,46,47,7 14 35 41 46 47
2017-05-18,500,5,6,11,15,41,47,5 6 11 15 41 47
2017-05-25,501,1,3,13,16,23,45,1 3 13 16 23 45
2017-06-01,502,3,16,19,31,33,37,3 16 19 31 33 37
2017-06-08,503,10,27,36,38,51,53,10 27 36 38 51 53
2017-06-15,504,9,13,17,23,48,51,9 13 17 23 48 51
2017-06-22,505,3,5,20,37,44,48,3 5 20 37 44 48
2017-06-29,506,4,20,21,32,43,47,4 20 21 32 43 47
2017-07-06,507,2,5,24,39,45,49,2 5 24 39 45 49
2017-07-13,508,24,27,28,36,39,40,24 27 28 36 39 40
2017-07-20,509,2,3,27,51,53,54,2 3 27 51 53 54
2017-07-27,510,2,3,7,8,19,27,2 3 7 8 19 27
2017-08-03,511,10,13,24,29,43,50,10 13 24 29 43 50
2017-08-10,512,4,10,38,41,43,49,4 10 38 41 43 49
2017-08-17,513,20,23,38,42,48,50,20 23 38 42 48 50
2017-08-24,514,12,17,18,37,45,46,12 17 18 37 45 46
2017-08-31,515,4,9,26,30,37,50,4 9 26 30 37 50
2017-09-07,516,1,35,37,40,44,52,1 35 37 40 44 52
2017-09-14,517,12,15,20,25,30,53,12 15 20 25 30 53
2017-09-21,518,6,8,9,17,25,38,6 8 9 17 25 38
2017-09-28,519,2,3,5,22,24,25,2 3 5 22 24 25
2017-10-05,520,11,18,29,40,46,52,11 18 29 40 46 52
2017-10-12,521,6,13,28,33,44,48,6 13 28 33 44 48
2017-10-19,522,3,12,17,28,47,48,3 12 17 28 47 48
